name,price,price_old,sale,url
Подвесной светильник Даклин White,3890руб.,0,нет скидки,https://www.divan.ru/product/podvesnoj-svetilnik-daklin-white
Люстра Монти-5 White,14 990руб.,0,нет скидки,https://www.divan.ru/product/lyustra-monti-5-white
Торшер Paolo-1,16 990руб.,0,нет скидки,https://www.divan.ru/product/torsher-paolo-1
Настольная лампа Townshend-5,5490руб.,8890руб.,-38%,https://www.divan.ru/product/nastolnaya-lampa-townshend-5
Подвесной светильник Лиму-3 Black,5390руб.,0,нет скидки,https://www.divan.ru/product/podvesnoj-svetilnik-limu-3-black
Подвесной светильник Moderli Libre,5490руб.,8990руб.,-38%,https://www.divan.ru/product/podvesnoj-svetilnik-moderli-libre
Настольная лампа Layham,4590руб.,7690руб.,-40%,https://www.divan.ru/product/nastolnaya-lampa-layham
Подвесной светильник Chieveley,18 690руб.,25 390руб.,-26%,https://www.divan.ru/product/podvesnoj-svetilnik-chieveley
Люстра Лорето-10 Black,20 390руб.,28 590руб.,-28%,https://www.divan.ru/product/lyustra-loreto-10-black
Спот Лима-1 Black,2490руб.,0,нет скидки,https://www.divan.ru/product/spot-lima-1-black
Бра Cornus Silver,5290руб.,0,нет скидки,https://www.divan.ru/product/bra-cornus-silver
Бра Куб White,2190руб.,0,нет скидки,https://www.divan.ru/product/bra-kub-white
Подвесной светильник Volare,3990руб.,0,нет скидки,https://www.divan.ru/product/podvesnoj-svetilnik-volare
Ландшафтный светильник Визор Black,5990руб.,0,нет скидки,https://www.divan.ru/product/landshaftnyj-svetilnik-vizor-black
Бра Bolla-Unica,5290руб.,0,нет скидки,https://www.divan.ru/product/bra-bolla-unica
Настольная лампа Мист Black,6990руб.,0,нет скидки,https://www.divan.ru/product/nastolnaya-lampa-mist-black
Настольная лампа Palla Grey,14 990руб.,0,нет скидки,https://www.divan.ru/product/nastolnaya-lampa-palla-grey
Подвесной светильник Фаро-3 White,6490руб.,13 990руб.,-53%,https://www.divan.ru/product/podvesnoj-svetilnik-faro-3-white
Подвесной светильник Кэнди Blue,6990руб.,0,нет скидки,https://www.divan.ru/product/podvesnoj-svetilnik-kendi-blue
Подвесной светильник Фолс White,4990руб.,5790руб.,-13%,https://www.divan.ru/product/podvesnoj-svetilnik-fols-white
Люстра Нейва-4 Black,6490руб.,7290руб.,-10%,https://www.divan.ru/product/lyustra-nejva-4-black
Подвесной светильник Лима Grafit,2390руб.,0,нет скидки,https://www.divan.ru/product/podvesnoj-svetilnik-lima-grafit
Люстра Альби-6 Black,4390руб.,4690руб.,-6%,https://www.divan.ru/product/lyustra-albi-6-black
Бра Лима Black,2290руб.,0,нет скидки,https://www.divan.ru/product/bra-lima-black
Торшер Combo,11 900руб.,0,нет скидки,https://www.divan.ru/product/torsher-combo
